0;18.01.2005;Samara;Russia;Vladimir Vladimirovich
1;19.01.2005;Samara;Russia;Andrew Viktorovich
2;20.01.2001;Vladivostok;Russia;Vitaliy Vitalivich
3;21.01.2003;Saints-Petersburg;Russia;Michail Michailovich
4;22.01.2005;Moscow;Russia;Veronika Igorevna
5;23.01.2002;Moscow;Russia;Ivan Ivanov
6;24.01.2005;Saints-Petersburg;Russia;Danila Danilovich
7;25.01.2005;Moscow;Russia;Maria Olegovna
8;26.01.2002;Samara;Russia;Sergey Sergeevich
9;27.01.2002;Samara;Russia;Vladimir Vladimirov
10;28.01.2005;Moscow;Russia;Sergey Danilovich
11;29.01.2005;Vladivostok;Russia;Maria Vladimirovna
12;30.01.2000;Samara;Russia;Vladimir Olegov
13;31.01.2003;Saints-Petersburg;Russia;Ivan Vitalivich
14;01.02.2005;Saints-Petersburg;Russia;Sergey Igorvich
15;02.02.2001;Moscow;Russia;Veronika Sergeevna
16;03.02.2004;Samara;Russia;Vitaliy Ivanov
